ts_iso,stage,duration_ms
2026-02-19T19:18:24.925811,capture,0.033600
2026-02-19T19:18:24.925811,detection,0.013800
2026-02-19T19:18:24.925811,input,0.000300
2026-02-19T19:18:24.925811,capture,0.004200
2026-02-19T19:18:24.925811,detection,0.005300
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002700
2026-02-19T19:18:24.925811,detection,0.004100
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002400
2026-02-19T19:18:24.925811,detection,0.003700
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002400
2026-02-19T19:18:24.925811,detection,0.003700
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002400
2026-02-19T19:18:24.925811,detection,0.003600
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002400
2026-02-19T19:18:24.925811,detection,0.003500
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.004500
2026-02-19T19:18:24.925811,detection,0.015300
2026-02-19T19:18:24.925811,input,0.000400
2026-02-19T19:18:24.925811,capture,0.003100
2026-02-19T19:18:24.925811,detection,0.005300
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002600
2026-02-19T19:18:24.925811,detection,0.068800
2026-02-19T19:18:24.925811,input,0.000300
2026-02-19T19:18:24.925811,capture,0.003800
2026-02-19T19:18:24.925811,detection,0.004700
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002900
2026-02-19T19:18:24.925811,detection,0.004200
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002400
2026-02-19T19:18:24.925811,detection,0.003200
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.003100
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002300
2026-02-19T19:18:24.925811,detection,0.003100
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002100
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.004100
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000100
2026-02-19T19:18:24.925811,capture,0.002700
2026-02-19T19:18:24.925811,detection,0.003600
2026-02-19T19:18:24.925811,input,0.000100
2026-02-19T19:18:24.925811,capture,0.002100
2026-02-19T19:18:24.925811,detection,0.003100
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002300
2026-02-19T19:18:24.925811,detection,0.003100
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.007400
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002300
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.002900
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000100
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.002900
2026-02-19T19:18:24.925811,input,0.000100
2026-02-19T19:18:24.925811,capture,0.002100
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000100
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000100
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.005900
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002300
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000100
2026-02-19T19:18:24.925811,capture,0.002500
2026-02-19T19:18:24.925811,detection,0.003700
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002100
2026-02-19T19:18:24.925811,detection,0.003100
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000100
2026-02-19T19:18:24.925811,capture,0.002100
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.002900
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.005200
2026-02-19T19:18:24.925811,detection,0.003200
2026-02-19T19:18:24.925811,input,0.000100
2026-02-19T19:18:24.925811,capture,0.002100
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000100
2026-02-19T19:18:24.925811,capture,0.002300
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000100
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.002900
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.003100
2026-02-19T19:18:24.925811,input,0.000100
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.002900
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002100
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.002900
2026-02-19T19:18:24.925811,input,0.000100
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.002900
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000100
2026-02-19T19:18:24.925811,capture,0.002100
2026-02-19T19:18:24.925811,detection,0.002900
2026-02-19T19:18:24.925811,input,0.000100
2026-02-19T19:18:24.925811,capture,0.002100
2026-02-19T19:18:24.925811,detection,0.002900
2026-02-19T19:18:24.925811,input,0.000100
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.002900
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002100
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002100
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.925811,capture,0.002300
2026-02-19T19:18:24.925811,detection,0.003100
2026-02-19T19:18:24.925811,input,0.000100
2026-02-19T19:18:24.925811,capture,0.002100
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000100
2026-02-19T19:18:24.925811,capture,0.002100
2026-02-19T19:18:24.925811,detection,0.003000
2026-02-19T19:18:24.925811,input,0.000100
2026-02-19T19:18:24.925811,capture,0.002100
2026-02-19T19:18:24.925811,detection,0.002900
2026-02-19T19:18:24.925811,input,0.000100
2026-02-19T19:18:24.925811,capture,0.002200
2026-02-19T19:18:24.925811,detection,0.002900
2026-02-19T19:18:24.925811,input,0.000100
2026-02-19T19:18:24.925811,capture,0.002500
2026-02-19T19:18:24.925811,detection,0.003500
2026-02-19T19:18:24.925811,input,0.000200
2026-02-19T19:18:24.926811,capture,0.002200
2026-02-19T19:18:24.926811,detection,0.002900
2026-02-19T19:18:24.926811,input,0.000200
2026-02-19T19:18:24.926811,capture,0.002200
2026-02-19T19:18:24.926811,detection,0.003000
2026-02-19T19:18:24.926811,input,0.000200
2026-02-19T19:18:24.926811,capture,0.002200
2026-02-19T19:18:24.926811,detection,0.002900
2026-02-19T19:18:24.926811,input,0.000100
2026-02-19T19:18:24.926811,capture,0.002200
2026-02-19T19:18:24.926811,detection,0.003000
2026-02-19T19:18:24.926811,input,0.000200
2026-02-19T19:18:24.926811,capture,0.002200
2026-02-19T19:18:24.926811,detection,0.003000
2026-02-19T19:18:24.926811,input,0.000200
2026-02-19T19:18:24.926811,capture,0.002200
2026-02-19T19:18:24.926811,detection,0.002900
2026-02-19T19:18:24.926811,input,0.000100
2026-02-19T19:18:24.926811,capture,0.002200
2026-02-19T19:18:24.926811,detection,0.002900
