ts_iso,stage,duration_ms
2026-02-19T18:55:22.435661,capture,0.038500
2026-02-19T18:55:22.435661,detection,0.016100
2026-02-19T18:55:22.435661,input,0.000500
2026-02-19T18:55:22.435661,capture,0.004000
2026-02-19T18:55:22.435661,detection,0.005800
2026-02-19T18:55:22.435661,input,0.000200
2026-02-19T18:55:22.435661,capture,0.003000
2026-02-19T18:55:22.435661,detection,0.004100
2026-02-19T18:55:22.435661,input,0.000200
2026-02-19T18:55:22.435661,capture,0.002500
2026-02-19T18:55:22.435661,detection,0.003800
2026-02-19T18:55:22.435661,input,0.000200
2026-02-19T18:55:22.435661,capture,0.002600
2026-02-19T18:55:22.435661,detection,0.003900
2026-02-19T18:55:22.435661,input,0.000200
